2048;1068
2041;818
2040;792
2039;1011
2049;907
2038;741
2048;904
2039;893
2048;921
2040;917
2040;905
2038;735
2048;986
2048;1138
2048;935
2048;880
2039;1040
2039;874
2048;967
2048;1047
2041;758
2035;850
2040;740
2039;773
2037;733
2049;939
2040;831
2039;739
2039;959
2036;849
2039;885
2048;903
2048;922
2056;1045
2048;1011
2041;1079
2048;1025
2048;945
2048;931
2048;1099
2048;1011
2050;881
2040;840
2048;918
2048;917
2039;733
2039;856
2048;798
2040;791
2055;1018
2048;1082
2048;902
2041;855
2048;975
2029;923
2048;1171
2041;906
2048;952
2041;884
2038;1024
2049;1024
2041;741
2040;871
2039;732
2048;734
2039;839
2041;733
2048;955
2039;771
2052;994
2048;916
2039;775
2041;862
2048;1159
2048;1127
2048;1164
2039;981
2051;843
2041;1060
2048;1168
2041;924
2041;799
2039;738
2039;736
2038;894
2038;771
2040;730
2037;773
2040;730
2037;729
2048;776
2039;833
2048;997
2111;1060
2033;977
2035;1082
2048;1117
2039;850
2034;842
2048;1146
2040;873
2039;773
2098;729
2039;748
2035;838
2048;911
2039;894
2037;737
2040;844
2048;892
2048;969
2040;907
2048;1011
2048;1124
2048;909
2048;1155
2040;894
2041;991
2039;997
2048;1131
2048;797
2048;793
2037;818
2037;736
2039;733
2040;835
2048;835
2031;917
2041;731
2029;831
2048;1110
2048;1018
2048;915
2042;1128
2041;943
2048;1076
2037;889
2048;1105
2048;1060
2049;1099
2041;839
2040;845
2039;815
2039;834
2039;859
2040;730
2039;743
2038;797
2040;831
2034;729
2039;808
2039;790
2041;907
2048;998
2036;923
2048;1081
2048;842
2048;1027
2048;1112
2048;1157
2048;1121
2048;919
2053;1132
2048;860
2039;893
2030;730
2040;726
2039;736
2039;833
2040;731
2048;939
2042;781
2048;917
2048;1080
2038;737
2051;973
2048;1166
2048;1101
2041;1002
2036;1003
2050;936
2048;731
2040;730
2039;732
2041;735
2040;798
1992;744
2048;737
2039;731
2040;733
2040;924
2049;1034
2041;809
2048;1056
2048;923
1995;1003
2038;892
2048;1036
2048;1175
2048;1173
2048;839
2041;733
2041;865
2039;757
2037;744
2038;733
2038;741
2017;895
2049;930
2041;732
2048;1079
2048;987
2048;1044
2067;1122
2048;1020
2048;1108
2048;981
2048;1037
2048;1147
2048;1105
2048;911
2041;733
2041;727
2112;898
2039;766
2034;771
2039;733
2039;795
2038;731
2048;893
2048;896
2048;922
2048;1026
2048;1029
2040;888
2041;994
2048;955
2039;1099
2048;1115
2048;1122
2041;876
2039;734
2038;734
2039;730
2048;933
2039;733
2039;772
2039;794
2039;737
2039;735
2039;807
2048;991
2048;1140
2039;940
2048;973
2041;994
2039;1144
2048;1131
2040;981
2048;1170
