2048;1990
2048;1990
2048;1989
2039;1988
2048;1993
2039;1987
2048;1989
2048;1991
2055;1989
2048;1986
2048;1990
2041;1989
2048;1990
2048;1991
2048;1990
2048;1998
2048;1991
2048;1991
2048;1991
2048;1995
2048;1991
2048;1989
2039;1991
2039;1991
2041;1990
2040;1990
2048;1989
2048;1986
2048;1989
2048;1990
2056;1995
2072;1986
2048;1990
2048;1993
2048;1979
2048;1989
2048;1993
2048;1995
2037;1991
2048;1994
2048;1991
2051;1990
2040;1991
2048;1991
2039;1984
2048;1990
2037;1989
2048;1987
2048;1989
2048;1989
2048;1993
2048;1990
2048;1990
2048;1986
2048;1990
2048;1989
2049;1989
2048;1995
2048;1990
2048;1989
2048;1989
2039;1990
2039;1989
2048;1991
2041;1990
2041;1989
2048;1989
2048;1991
2048;1986
2048;1990
2048;1990
2048;1991
2048;1984
2048;1994
2048;1990
2048;1991
2048;1991
2048;1991
2048;1993
2048;1990
2048;1992
2039;1991
2048;1991
2041;1988
2035;1992
2048;1990
2048;1991
2048;1990
2048;1990
2048;1990
2048;1989
2048;1989
2048;1991
2048;1990
2048;1988
2048;1989
2038;1987
2048;1989
2048;1990
2048;1991
2048;1991
2031;1995
2006;1989
2039;1989
2041;1990
2036;1991
2048;1991
2048;1990
2048;1992
2048;1990
2048;1989
2048;1991
2048;1985
2048;1990
2048;1990
2048;1990
2048;1987
2048;1993
2050;1987
2048;1994
2048;1990
2048;1988
2048;1989
2034;1999
2037;1989
2048;1993
2019;1991
2048;1991
2041;1989
2048;1991
2298;1988
2048;1990
2048;1990
2048;1990
2048;1989
2048;1993
2048;1996
2048;1988
2048;1990
2048;1989
2048;1993
2048;2002
2039;1988
2041;1990
2048;1987
2048;1989
2048;1989
2048;1990
2038;1990
2048;1991
2048;1990
2048;1989
2048;1989
2048;1989
2048;1988
2048;1989
2051;1989
2048;1988
2048;1992
2048;1990
2048;1991
2039;1990
2048;1995
2040;1989
2048;1991
2036;1990
2048;1989
2041;1991
2027;1988
2048;1993
2053;1989
2048;1994
2048;1989
2048;1992
2048;1991
2048;1963
2048;1990
2048;1989
2048;1991
2048;1992
2048;1991
2048;1990
2040;1990
2039;1989
2040;1990
2041;1991
2048;1991
2048;1987
2048;1994
2048;1989
2048;1989
2048;1990
2048;1985
2048;1988
2048;1991
2048;1990
2030;1989
2048;1990
2048;1992
2038;1990
2048;1989
2048;1989
2048;1994
2048;1990
2039;1991
2048;1990
2048;1991
2048;1991
2048;1989
2048;1985
2048;1990
2048;1987
2048;1989
