691;2038;543
693;2048;546
691;2049;550
691;2050;571
693;2039;546
693;2048;543
692;2058;546
695;2048;544
694;2040;543
695;2048;546
694;2048;548
692;2027;545
691;2048;546
693;2053;547
693;2048;548
691;2048;546
693;2037;547
693;2048;550
693;2048;546
694;2038;545
693;2041;547
693;2048;546
694;2048;544
692;2048;547
694;2048;547
694;2048;547
694;2048;547
692;2048;546
693;2048;549
692;2048;548
693;2048;548
693;2048;548
693;2048;547
693;2048;548
692;2048;546
693;2048;547
695;2039;547
694;2041;548
693;2048;544
694;2039;546
692;2048;544
693;2039;548
692;2048;547
692;2048;546
693;2048;551
691;2048;550
692;2048;545
692;2048;547
691;2048;544
694;2041;549
693;2048;547
693;2048;548
691;2048;548
693;2048;546
695;2041;545
694;2040;549
693;2040;547
694;2048;534
694;2040;548
694;2048;547
693;2048;544
692;2048;548
693;2041;547
693;2048;547
695;2048;548
691;2039;546
694;2048;548
693;2048;548
692;2048;548
695;2040;549
692;2048;549
693;2048;546
694;2048;547
693;2048;548
694;2039;546
694;2034;555
695;2048;546
692;2039;547
695;2026;536
692;2037;548
694;2048;554
692;2048;546
686;2039;535
692;2039;545
693;2048;545
694;2048;545
694;2048;544
692;2048;545
694;2048;545
693;2048;546
693;2055;547
693;2039;543
692;2050;544
695;2048;552
692;2039;546
692;2040;544
693;2039;548
691;2039;548
694;2039;544
693;2048;556
692;2029;542
693;2051;558
694;2048;546
694;2040;545
693;2048;547
695;2048;544
693;2048;527
693;2036;556
693;2039;557
693;2048;558
693;2040;561
693;2026;559
693;2048;563
691;2048;558
694;2048;569
694;2041;563
693;2038;565
694;2038;565
693;2041;568
693;2037;565
694;2041;564
693;2041;566
694;2048;565
693;2048;565
694;2048;565
694;2048;566
694;2048;550
693;2048;547
692;2048;539
694;2038;545
693;2048;541
694;2048;540
693;2048;541
694;2048;543
693;2039;540
693;2048;540
694;2039;539
693;2042;541
694;2040;541
693;2039;538
693;2048;541
693;2048;538
693;2048;538
695;2040;533
694;2048;538
693;2040;537
693;2048;537
692;2049;538
694;2048;536
693;2048;535
691;2041;541
693;2038;538
693;2048;537
693;2048;539
693;2039;538
693;2039;537
693;2037;538
693;2039;537
695;2039;538
695;2033;543
694;2039;554
694;2048;540
695;2048;538
693;2039;539
693;2048;540
693;2039;542
695;2048;543
695;2040;543
694;2041;543
693;2040;545
693;2048;547
694;2042;545
693;2048;546
693;2048;546
694;2039;547
693;2038;545
695;2025;531
693;2037;547
694;2048;546
698;2053;551
693;2048;544
693;2048;545
695;2041;546
691;2040;548
695;2048;545
695;2048;547
694;2048;546
693;2035;546
694;2039;544
694;2048;547
694;2040;549
694;2039;547
695;2048;548
694;2048;557
693;2038;552
693;2027;555
691;2056;549
695;2048;545
693;2039;541
694;2039;539
693;2048;546
692;2038;542
695;2048;543
693;2048;543
694;2048;546
695;2038;541
694;2048;542
695;2048;543
693;2048;545
696;2041;546
693;2048;549
694;2048;548
693;2051;546
694;2048;547
686;2035;549
694;2039;544
693;2039;551
694;2030;539
692;2048;544
693;2054;555
695;2048;547
693;2048;547
693;2048;544
693;2038;547
692;2048;544
693;2048;547
693;2048;544
695;2048;552
693;2031;540
695;2052;540
692;2048;545
693;2048;544
693;2048;545
693;2048;543
692;2037;545
693;2048;546
693;2051;559
693;2037;544
693;2038;539
693;2032;552
693;2048;547
693;2048;546
693;2048;546
693;2048;550
695;2048;549
693;2048;549
694;2048;549
693;2048;559
694;2048;546
695;2048;547
694;2028;543
694;2058;550
694;2048;548
694;2048;548
693;2048;548
693;2037;552
685;2035;552
695;2048;545
694;2039;542
694;2049;544
694;2037;544
693;2038;546
695;2041;548
694;2048;545
693;2048;543
694;2048;542
693;2048;540
694;2048;541
695;2048;538
694;2048;541
694;2041;539
694;2039;539
695;2039;537
695;2040;539
694;2038;537
694;2039;539
693;2037;539
694;2039;538
694;2039;540
693;2041;540
694;2048;544
695;2048;542
694;2040;551
693;2048;544
695;2048;542
693;2048;545
694;2048;546
693;2048;539
694;2048;543
694;2048;545
695;2048;536
695;2035;544
694;2048;541
694;2037;541
693;2033;539
695;2038;541
693;2021;539
695;2059;543
698;2048;541
696;2039;541
693;2040;543
693;2039;542
695;2048;542
693;2048;543
695;2040;554
694;2041;542
694;2048;544
694;2048;542
695;2048;543
694;2048;546
693;2039;545
696;2039;546
694;2048;546
695;2041;544
694;2034;545
694;2048;545
694;2048;544
695;2048;546
693;2048;545
694;2041;543
694;2041;545
694;2048;542
694;2039;549
694;2039;561
694;2048;545
695;2035;540
695;2061;547
693;2049;541
693;2048;543
693;2048;541
695;2042;543
693;2035;545
693;2041;547
694;2039;553
694;2038;546
694;2041;548
694;2048;549
694;2040;545
694;2048;546
695;2048;546
694;2039;545
693;2039;545
695;2048;543
694;2031;544
694;2048;540
693;2063;548
695;2048;540
694;2041;538
693;2040;539
694;2041;537
696;2048;537
695;2048;536
696;2039;538
695;2039;538
693;2048;539
695;2038;540
693;2038;540
695;2048;540
693;2048;540
694;2048;539
695;2039;542
695;2048;539
693;2048;545
694;2048;546
694;2048;543
694;2048;545
694;2048;547
693;2048;546
694;2048;546
693;2040;549
694;2039;549
693;2048;550
694;2048;551
694;2040;557
694;2039;558
693;2038;559
693;2048;532
696;2048;528
695;2048;526
693;2048;524
696;2039;523
693;2048;521
695;2048;519
695;2048;519
693;2048;518
695;2048;517
694;2039;517
696;2048;513
694;2048;516
694;2040;517
693;2041;517
694;2033;546
695;2035;554
694;2048;551
694;2048;541
695;2039;546
695;2048;545
694;2035;545
695;2048;543
695;2048;545
695;2048;544
694;2048;546
695;2040;547
694;2048;547
695;2048;543
694;2048;543
694;2048;544
694;2048;544
694;2048;547
694;2048;550
695;2048;548
695;2048;545
695;2048;545
695;2039;545
694;2048;550
693;2048;544
694;2048;543
695;2048;543
695;2041;540
693;2039;538
695;2048;539
695;2048;541
695;2048;540
694;2048;541
694;2048;538
693;2048;543
695;2048;544
694;2048;539
690;2048;539
