Sample;MAV;RMS;IEMG;ZC;PP
CH1;0.00979415726717831;0.0139163510926672;100.292170415906;1747;0.257189593719355
CH2;0.0123801315156663;0.0184602000015922;126.772546720423;1533;0.310548339572207
CH3;0.0220730106076732;0.0382647797242189;226.027628622574;1472;0.736467906425685
CH17;0.0325481203517349;0.0527806856442986;333.292752401765;1463;1.08970154386572
